value_en	description_en	codesystem	code	description_code
KAPA High throughput Library Preparation KitIllumina, with bead, PCR-free by Roche	KAPA High throughput Library Preparation KitIllumina, with bead, PCR-free by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT67	KAPA High throughput Library Preparation KitIllumina, with bead, PCR-free by Roche
SSELXT Human All Exon V6, 96 by Agilent Technologies	SSELXT Human All Exon V6, 96 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT464	SSELXT Human All Exon V6, 96 by Agilent Technologies
OneSeq Constitutional Research,96 Auto by Agilent Technologies	OneSeq Constitutional Research,96 Auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT555	OneSeq Constitutional Research,96 Auto by Agilent Technologies
SSel XT Low Input 1-96+V6+,96rxn by Agilent Technologies	SSel XT Low Input 1-96+V6+,96rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT350	SSel XT Low Input 1-96+V6+,96rxn by Agilent Technologies
ClearSeq Comprehensive Cancer,16, XT2 by Agilent Technologies	ClearSeq Comprehensive Cancer,16, XT2 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT606	ClearSeq Comprehensive Cancer,16, XT2 by Agilent Technologies
InviMag Bisulfite Conversion Kit/ IG - 4 x 12 conversions by AS ONE INTERNATIONAL	InviMag Bisulfite Conversion Kit/ IG - 4 x 12 conversions by AS ONE INTERNATIONAL sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT18	InviMag Bisulfite Conversion Kit/ IG - 4 x 12 conversions by AS ONE INTERNATIONAL
SSel XT Low Input 1-96+0.5-2.9 Mb,96rxn by Agilent Technologies	SSel XT Low Input 1-96+0.5-2.9 Mb,96rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT343	SSel XT Low Input 1-96+0.5-2.9 Mb,96rxn by Agilent Technologies
SSXT Human All Exon V5+MHC, 96 by Agilent Technologies	SSXT Human All Exon V5+MHC, 96 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT399	SSXT Human All Exon V5+MHC, 96 by Agilent Technologies
SSELXT2 Human All Exon V6+ COSMIC, 96 by Agilent Technologies	SSELXT2 Human All Exon V6+ COSMIC, 96 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT440	SSELXT2 Human All Exon V6+ COSMIC, 96 by Agilent Technologies
KAPA Library Quantification Kit (Bio-Rad) by Roche	KAPA Library Quantification Kit (Bio-Rad) by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT40	KAPA Library Quantification Kit (Bio-Rad) by Roche
SSELXT Human All Exon V7 Plus1, 16Rxn by Agilent Technologies	SSELXT Human All Exon V7 Plus1, 16Rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT468	SSELXT Human All Exon V7 Plus1, 16Rxn by Agilent Technologies
