value_en	description_en	codesystem	code	description_code
bronchial mucosa	bronchial mucosa	UBERON	http://purl.obolibrary.org/obo/UBERON_0000410	bronchial mucosa
visual cortex	visual cortex	UBERON	http://purl.obolibrary.org/obo/UBERON_0000411	visual cortex
dermal papilla	dermal papilla	UBERON	http://purl.obolibrary.org/obo/UBERON_0000412	dermal papilla
mucous gland	mucous gland	UBERON	http://purl.obolibrary.org/obo/UBERON_0000414	mucous gland
artery wall	artery wall	UBERON	http://purl.obolibrary.org/obo/UBERON_0000415	artery wall
subdural space	subdural space	UBERON	http://purl.obolibrary.org/obo/UBERON_0000416	subdural space
myoepithelium	myoepithelium	UBERON	http://purl.obolibrary.org/obo/UBERON_0000420	myoepithelium
eccrine sweat gland	eccrine sweat gland	UBERON	http://purl.obolibrary.org/obo/UBERON_0000423	eccrine sweat gland
gastric pit	gastric pit	UBERON	http://purl.obolibrary.org/obo/UBERON_0000424	gastric pit
extravillous trophoblast	extravillous trophoblast	UBERON	http://purl.obolibrary.org/obo/UBERON_0000426	extravillous trophoblast
prostate epithelium	prostate epithelium	UBERON	http://purl.obolibrary.org/obo/UBERON_0000428	prostate epithelium
enteric plexus	enteric plexus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000429	enteric plexus
ventral intermediate nucleus of thalamus	ventral intermediate nucleus of thalamus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000430	ventral intermediate nucleus of thalamus
ventral medial complex of thalamus	ventral medial complex of thalamus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000431	ventral medial complex of thalamus
endopeduncular nucleus	endopeduncular nucleus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000432	endopeduncular nucleus
posterior paraventricular nucleus of thalamus	posterior paraventricular nucleus of thalamus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000433	posterior paraventricular nucleus of thalamus
anterior paraventricular nucleus of thalamus	anterior paraventricular nucleus of thalamus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000434	anterior paraventricular nucleus of thalamus
lateral tuberal nucleus	lateral tuberal nucleus	UBERON	http://purl.obolibrary.org/obo/UBERON_0000435	lateral tuberal nucleus
arachnoid barrier layer	arachnoid barrier layer	UBERON	http://purl.obolibrary.org/obo/UBERON_0000437	arachnoid barrier layer
arachnoid trabecula	arachnoid trabecula	UBERON	http://purl.obolibrary.org/obo/UBERON_0000439	arachnoid trabecula
trabecula	trabecula	UBERON	http://purl.obolibrary.org/obo/UBERON_0000440	trabecula
right testicular vein	right testicular vein	UBERON	http://purl.obolibrary.org/obo/UBERON_0000442	right testicular vein
left testicular vein	left testicular vein	UBERON	http://purl.obolibrary.org/obo/UBERON_0000443	left testicular vein
lymphoid follicle	lymphoid follicle	UBERON	http://purl.obolibrary.org/obo/UBERON_0000444	lymphoid follicle
habenular trigone	habenular trigone	UBERON	http://purl.obolibrary.org/obo/UBERON_0000445	habenular trigone
septum of telencephalon	septum of telencephalon	UBERON	http://purl.obolibrary.org/obo/UBERON_0000446	septum of telencephalon
corpus albicans	corpus albicans	UBERON	http://purl.obolibrary.org/obo/UBERON_0000450	corpus albicans
prefrontal cortex	prefrontal cortex	UBERON	http://purl.obolibrary.org/obo/UBERON_0000451	prefrontal cortex
decidua basalis	decidua basalis	UBERON	http://purl.obolibrary.org/obo/UBERON_0000453	decidua basalis
