value	description	codesystem	code	iri
trunk of segmental spinal nerve	trunk of segmental spinal nerve	UBERON	0035022	http://purl.obolibrary.org/obo/UBERON_0035022
lateral spinal nucleus	lateral spinal nucleus	UBERON	0035024	http://purl.obolibrary.org/obo/UBERON_0035024
amygdalohippocampal transition area	amygdalohippocampal transition area	UBERON	0035026	http://purl.obolibrary.org/obo/UBERON_0035026
amygdalohippocampal area, magnocellular division	amygdalohippocampal area, magnocellular division	UBERON	0035027	http://purl.obolibrary.org/obo/UBERON_0035027
amygdalohippocampal area, parvocellular division	amygdalohippocampal area, parvocellular division	UBERON	0035028	http://purl.obolibrary.org/obo/UBERON_0035028
abdominal oblique muscle	abdominal oblique muscle	UBERON	0035032	http://purl.obolibrary.org/obo/UBERON_0035032
eyelid epithelium	eyelid epithelium	UBERON	0035034	http://purl.obolibrary.org/obo/UBERON_0035034
naris epithelium	naris epithelium	UBERON	0035036	http://purl.obolibrary.org/obo/UBERON_0035036
jaw epithelium	jaw epithelium	UBERON	0035037	http://purl.obolibrary.org/obo/UBERON_0035037
carpal tunnel	carpal tunnel	UBERON	0035038	http://purl.obolibrary.org/obo/UBERON_0035038
rectal artery	rectal artery	UBERON	0035039	http://purl.obolibrary.org/obo/UBERON_0035039
superior rectal artery	superior rectal artery	UBERON	0035040	http://purl.obolibrary.org/obo/UBERON_0035040
deep temporal artery	deep temporal artery	UBERON	0035041	http://purl.obolibrary.org/obo/UBERON_0035041
middle temporal artery	middle temporal artery	UBERON	0035042	http://purl.obolibrary.org/obo/UBERON_0035042
temporal branch of lateral pretrosal artery	temporal branch of lateral pretrosal artery	UBERON	0035043	http://purl.obolibrary.org/obo/UBERON_0035043
olfactory cortex layer 3	olfactory cortex layer 3	UBERON	0035044	http://purl.obolibrary.org/obo/UBERON_0035044
parotid gland intralobular duct	parotid gland intralobular duct	UBERON	0035045	http://purl.obolibrary.org/obo/UBERON_0035045
parotid gland intercalated duct	parotid gland intercalated duct	UBERON	0035046	http://purl.obolibrary.org/obo/UBERON_0035046
parotid gland striated duct	parotid gland striated duct	UBERON	0035047	http://purl.obolibrary.org/obo/UBERON_0035047
parotid gland excretory duct	parotid gland excretory duct	UBERON	0035048	http://purl.obolibrary.org/obo/UBERON_0035048
excretory duct of salivary gland	excretory duct of salivary gland	UBERON	0035049	http://purl.obolibrary.org/obo/UBERON_0035049
excretory duct	excretory duct	UBERON	0035050	http://purl.obolibrary.org/obo/UBERON_0035050
interlobular duct of salivary gland	interlobular duct of salivary gland	UBERON	0035053	http://purl.obolibrary.org/obo/UBERON_0035053
duct of eccrine sweat gland	duct of eccrine sweat gland	UBERON	0035073	http://purl.obolibrary.org/obo/UBERON_0035073
duct of apocrine sweat gland	duct of apocrine sweat gland	UBERON	0035074	http://purl.obolibrary.org/obo/UBERON_0035074
thymus subunit	thymus subunit	UBERON	0035075	http://purl.obolibrary.org/obo/UBERON_0035075
parotid gland myoepithelium	parotid gland myoepithelium	UBERON	0035076	http://purl.obolibrary.org/obo/UBERON_0035076
lateral nasal gland	lateral nasal gland	UBERON	0035077	http://purl.obolibrary.org/obo/UBERON_0035077
parotid gland interlobular duct	parotid gland interlobular duct	UBERON	0035078	http://purl.obolibrary.org/obo/UBERON_0035078
deep intraparotid lymph node	deep intraparotid lymph node	UBERON	0035079	http://purl.obolibrary.org/obo/UBERON_0035079
