value_en	description_en	codesystem	code	description_code	iri
central amygdaloid nucleus	central amygdaloid nucleus	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0002883
trachea non-cartilage connective tissue	trachea non-cartilage connective tissue	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0009644
inner lining mucosa of the abomasum	inner lining mucosa of the abomasum	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0010154
pedal digit 1 phalanx cartilage element	pedal digit 1 phalanx cartilage element	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0010680
mesopterygium cartilage	mesopterygium cartilage	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	1500007
puboischiofemoralis muscle	puboischiofemoralis muscle	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0014842
lower premolar 2	lower premolar 2	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0018285
lower premolar 1	lower premolar 1	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0018284
median fin lepidotrichium	median fin lepidotrichium	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	4500008
pedicle of vertebra	pedicle of vertebra	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0001078
temporal operculum	temporal operculum	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0002560
transverse marginal ridge of tooth	transverse marginal ridge of tooth	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0016937
stylopod	stylopod	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0002472
pharyngobranchial 4 bone uncinate process	pharyngobranchial 4 bone uncinate process	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2001793
phalanx pre-cartilage condensation	phalanx pre-cartilage condensation	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0010700
hyponychium	hyponychium	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0002284
reticulotegmental nucleus	reticulotegmental nucleus	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0002147
extensor carpi radialis muscle	extensor carpi radialis muscle	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0011867
ventral surface of penis	ventral surface of penis	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0017659
fibula facet of femur	fibula facet of femur	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	4200216
cusp of cardiac valve	cusp of cardiac valve	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0006009
koniocellular layer of dorsal nucleus of lateral geniculate body	koniocellular layer of dorsal nucleus of lateral geniculate body	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0013615
cleithrum head	cleithrum head	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	4200033
upper esophageal sphincter	upper esophageal sphincter	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0007268
thoracic aorta	thoracic aorta	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0001515
ascidian anterior sensory vesicle	ascidian anterior sensory vesicle	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0009892
trigone of urinary bladder	trigone of urinary bladder	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0001257
zeugopodial skeleton	zeugopodial skeleton	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0011584
cortical intermediate zone	cortical intermediate zone	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0004040
blood vessel elastic tissue	blood vessel elastic tissue	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0003614
medulla of organ	medulla of organ	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0000958
M. ulnocarpalis	M. ulnocarpalis	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	3010741
condyle	condyle	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0009979
basibranchial 2 element	basibranchial 2 element	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2001916
apex of thoracic spinal cord dorsal horn	apex of thoracic spinal cord dorsal horn	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0014611
median premaxilla	median premaxilla	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2001692
fusiform nucleus of stria terminalis	fusiform nucleus of stria terminalis	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0011175
cervical vertebra 1 arcus anterior	cervical vertebra 1 arcus anterior	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0003996
oral opening	oral opening	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0000166
middle nasal concha	middle nasal concha	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0005921
spiracular notch	spiracular notch	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	4100115
paraventricular nucleus of the hypothalamus parvicellular division	paraventricular nucleus of the hypothalamus parvicellular division	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0014604
eye trabecular meshwork	eye trabecular meshwork	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0005969
cerebellum vermis lobule II	cerebellum vermis lobule II	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0004075
lateral plate mesoderm	lateral plate mesoderm	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0003081
vein of vestibular aqueduct	vein of vestibular aqueduct	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0036074
mesenchyme of sublingual gland	mesenchyme of sublingual gland	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0003420
spleen germinal center	spleen germinal center	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0005196
aponeurosis palmaris	aponeurosis palmaris	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	4200041
mesonephric duct	mesonephric duct	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0003074
alisphenoid pre-cartilage condensation	alisphenoid pre-cartilage condensation	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0010732
descending trunk of arch of aorta	descending trunk of arch of aorta	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0016920
cloacal epithelium	cloacal epithelium	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0012481
retrotrapezoid nucleus	retrotrapezoid nucleus	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0009918
presumptive intervening zone	presumptive intervening zone	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2001342
pelvic fin lepidotrichium	pelvic fin lepidotrichium	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	4000173
cervical sinus of His	cervical sinus of His	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0006216
oblique cartilage	oblique cartilage	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	3000329
typhlosole	typhlosole	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0009099
uncrossed tecto-bulbar tract	uncrossed tecto-bulbar tract	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2000296
hematopoietic tissue	hematopoietic tissue	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0012429
hindbrain vesicle	hindbrain vesicle	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0013149
dorsal fin middle radial cartilage	dorsal fin middle radial cartilage	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	2201613
pleural sac	pleural sac	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0009778
